firm_name,decision_maker,linkedin_url,profile_name_matches (you fill: yes/no/unsure)
Bezos Expeditions,Melinda Lewison,https://www.linkedin.com/in/melindalewison,
Esrick Enterprises,Steven Esrick,https://www.linkedin.com/in/steven-esrick-a5a92a18,
119th Street Capital,Ethan White,https://www.linkedin.com/in/ethanjwhite,
Carter Family Office,Luke Carter,https://uk.linkedin.com/in/lukecarter07,
Green Bay Management Company,Mary Krey,https://www.linkedin.com/in/mary-krey-6b745769,
"Pritzker Family Office, LLC",Tim Parker,https://www.linkedin.com/in/tim-parker-42944945,
Stuller Family Office,Steven Ramos,https://www.linkedin.com/in/steven-ramos-79b74b36,
Badar Family Office,Taseer Badar,https://www.linkedin.com/in/taseerbadar,
Berritto Family Office,Anthony Berritto,https://www.linkedin.com/in/anthony-berritto-92048887,
Hilton Family Office,Mark Miller,https://www.linkedin.com/in/markmiller-hiltonfo,
Gleason Family Office,Neil Gleason,https://www.linkedin.com/in/neil-gleason-877aa037,
TriEdge Investments,Simcha Hyman,https://www.linkedin.com/in/simcha-hyman-b530a52b,
Heinz Family Office,McCall Cravens,https://www.linkedin.com/in/mccall-cravens-8171a96,
Gates Capital Partners,Jina Kim,https://www.linkedin.com/in/jinakimgatescapitalpartners,
Schultz Capital Partners,Ron Graves,https://www.linkedin.com/in/ron-graves-b554b751,
The Bravo Family Office,Danny Bravo,https://www.linkedin.com/in/danielbravo,
Caprock,Vivek Jindal,https://www.linkedin.com/in/vivek-jindal-7107403,
Corient,Matt Krauss,https://www.linkedin.com/in/matt-krauss-cfa-5800895,
Laird Norton Wetherby,Ronald G. Albahary,https://www.linkedin.com/in/ron-albahary-cfa,
AC Family Office,Michael Dieschbourg,https://www.linkedin.com/in/mdieschbourg,
AlTi Global,Nancy Curtin,https://uk.linkedin.com/in/nancy-curtin-46639382,
Wellspring Family Office,Michael Novak,https://www.linkedin.com/in/michael-t-novak2,
